Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,41.000000,41.009998,40.150002,40.189999,35.898788,138488400
2014-01-03,40.389999,40.400002,39.939999,40.119999,35.836269,83579700
2014-01-06,39.959999,39.959999,39.730000,39.740002,35.496845,55735100
2014-01-07,39.950001,40.090000,39.790001,39.910000,35.648685,57341500
2014-01-08,39.970001,40.009998,39.660000,39.779999,35.532570,63182600
2014-01-09,39.650002,39.720001,39.259998,39.570000,35.344990,74405200
2014-01-10,39.799999,40.419998,39.790001,40.270000,35.970249,110244200
2014-01-13,40.349998,40.400002,39.680000,39.790001,35.541496,62209500
2014-01-14,40.009998,40.340000,39.830002,40.220001,35.925594,75830700
2014-01-15,40.189999,40.310001,40.119999,40.209999,35.916660,47361900
2014-01-16,40.160000,40.259998,39.900002,39.990002,35.720142,56673900
2014-01-17,39.970001,39.980000,39.740002,39.790001,35.541496,61288200
2014-01-21,40.000000,40.049999,39.560001,39.730000,35.487911,46683100
2014-01-22,40.060001,40.270000,39.880001,40.259998,35.961319,56188400
2014-01-23,39.770000,39.770000,38.990002,39.270000,35.077023,109930400
2014-01-24,38.750000,38.779999,38.200001,38.240002,34.157001,127153900
2014-01-27,38.290001,38.369999,37.770000,38.090000,34.023014,118532300
2014-01-28,38.340000,38.500000,38.200001,38.330002,34.237392,86568700
2014-01-29,37.830002,38.200001,37.590000,37.779999,33.746117,142219100
2014-01-30,38.320000,38.410000,37.990002,38.130001,34.058746,84660600
2014-01-31,37.680000,38.270000,37.580002,38.189999,34.112339,102329500
2014-02-03,37.860001,37.919998,37.049999,37.110001,33.147655,123117200
2014-02-04,37.720001,38.090000,37.619999,37.860001,33.817574,138955500
2014-02-05,37.700001,37.959999,37.450001,37.720001,33.692524,86064900
2014-02-06,37.990002,38.570000,37.990002,38.509998,34.398170,99403100
2014-02-07,38.810001,38.919998,38.520000,38.730000,34.594685,80356700
2014-02-10,38.560001,38.590000,38.130001,38.299999,34.210594,68839500
2014-02-11,38.509998,39.220001,38.500000,39.130001,34.951969,93164800
2014-02-12,39.389999,39.580002,39.020000,39.139999,34.960907,68705700
2014-02-13,38.570000,39.209999,38.570000,39.180000,34.996632,50414900
2014-02-14,39.450001,39.869999,39.380001,39.660000,35.425385,69806400
2014-02-18,39.639999,39.720001,39.270000,39.290001,35.094887,69542600
2014-02-19,39.139999,39.459999,38.930000,39.020000,34.853710,101924800
2014-02-20,38.980000,39.250000,38.740002,39.160000,34.978771,71686300
2014-02-21,39.369999,39.590000,39.279999,39.430000,35.219933,66907700
2014-02-24,39.389999,39.779999,39.340000,39.430000,35.219933,58971200
2014-02-25,39.349998,39.439999,38.869999,38.980000,34.817993,77028600
2014-02-26,39.200001,39.279999,38.849998,39.009998,34.844788,59122600
2014-02-27,39.360001,39.820000,39.279999,39.750000,35.505768,67962200
2014-02-28,39.779999,39.840000,39.220001,39.480000,35.264599,88240700
2014-03-03,38.720001,38.939999,38.490002,38.779999,34.639339,98832200
2014-03-04,39.529999,39.590000,39.270000,39.439999,35.228867,63103000
2014-03-05,39.320000,39.529999,39.250000,39.470001,35.255669,42856900
2014-03-06,39.830002,40.220001,39.820000,40.029999,35.755875,86027600
2014-03-07,39.849998,39.869999,39.279999,39.520000,35.300327,66565600
2014-03-10,39.259998,39.270000,38.919998,39.250000,35.059158,57747100
2014-03-11,39.310001,39.430000,38.709999,38.810001,34.666149,72692600
2014-03-12,38.580002,38.930000,38.459999,38.889999,34.737595,56882800
2014-03-13,38.980000,39.000000,38.029999,38.189999,34.112339,79967400
2014-03-14,38.250000,38.619999,38.250000,38.400002,34.299915,64589800
2014-03-17,38.740002,38.959999,38.740002,38.869999,34.719730,57492000
2014-03-18,38.959999,39.430000,38.930000,39.410000,35.202072,68135000
2014-03-19,39.130001,39.310001,38.400002,38.570000,34.451767,95953000
2014-03-20,38.310001,38.820000,38.169998,38.740002,34.603611,60572300
2014-03-21,39.000000,39.450001,38.930000,38.980000,34.817993,86969000
2014-03-24,39.330002,39.450001,39.090000,39.360001,35.157413,54328100
2014-03-25,39.759998,39.959999,39.639999,39.810001,35.559372,93531000
2014-03-26,40.160000,40.290001,39.880001,39.900002,35.639763,91289900
2014-03-27,40.049999,40.480000,40.029999,40.419998,36.104233,73438700
2014-03-28,40.779999,41.020000,40.689999,40.740002,36.390068,67464400
2014-03-31,40.990002,41.250000,40.970001,41.009998,36.631237,75256100
2014-04-01,41.400002,41.490002,41.240002,41.490002,37.059982,65717300
2014-04-02,41.330002,41.610001,41.270000,41.570000,37.131447,44076300
2014-04-03,41.380001,41.439999,41.000000,41.410000,36.988529,84659200
2014-04-04,41.849998,42.130001,41.240002,41.299999,36.890270,127800700
2014-04-07,41.340000,41.590000,41.240002,41.480000,37.051052,60586200
2014-04-08,42.060001,42.259998,41.820000,41.959999,37.479801,107043300
2014-04-09,42.009998,42.470001,41.730000,42.279999,37.765636,71617000
2014-04-10,42.270000,42.419998,41.779999,41.830002,37.363682,74792500
2014-04-11,41.540001,41.889999,41.529999,41.830002,37.363682,76310100
2014-04-14,41.959999,41.970001,41.529999,41.740002,37.283295,44883400
2014-04-15,41.480000,41.509998,40.599998,41.110001,36.720566,155302100
2014-04-16,41.310001,41.669998,41.209999,41.630001,37.185043,64113100
2014-04-17,41.669998,42.150002,41.549999,42.009998,37.524460,69955200
2014-04-21,41.950001,41.959999,41.639999,41.750000,37.292225,29288500
2014-04-22,41.799999,41.860001,41.619999,41.639999,37.193974,43060000
2014-04-23,41.439999,41.459999,41.099998,41.340000,36.925999,58299300
2014-04-24,41.369999,41.389999,41.020000,41.380001,36.961727,39310800
2014-04-25,40.840000,40.849998,40.540001,40.820000,36.461525,72613500
2014-04-28,40.869999,41.160000,40.669998,41.020000,36.640171,64020600
2014-04-29,41.279999,41.570000,41.259998,41.410000,36.988529,71181600
2014-04-30,41.090000,41.330002,41.040001,41.330002,36.917076,49063100
2014-05-01,41.279999,41.480000,41.080002,41.380001,36.961727,31161300
2014-05-02,41.299999,41.730000,41.270000,41.610001,37.167171,63037500
2014-05-05,41.320000,41.419998,41.200001,41.380001,36.961727,26894600
2014-05-06,41.419998,41.810001,41.400002,41.570000,37.131447,41163100
2014-05-07,41.450001,41.799999,41.380001,41.790001,37.327961,43226500
2014-05-08,41.910000,42.040001,41.689999,41.689999,37.238636,49820300
2014-05-09,41.730000,41.830002,41.560001,41.619999,37.176098,43953000
2014-05-12,42.230000,42.349998,42.070000,42.320000,37.801369,63396500
2014-05-13,42.389999,42.660000,42.330002,42.480000,37.944283,53342400
2014-05-14,42.720001,42.919998,42.660000,42.779999,38.212250,57544700
2014-05-15,42.720001,42.730000,42.230000,42.380001,37.854954,56308800
2014-05-16,42.740002,43.000000,42.619999,42.939999,38.355167,70419600
2014-05-19,42.880001,43.000000,42.840000,42.939999,38.355167,32471500
2014-05-20,42.779999,42.880001,42.480000,42.590000,38.042534,63707800
2014-05-21,42.820000,42.939999,42.790001,42.919998,38.337299,50661300
2014-05-22,43.130001,43.220001,43.040001,43.220001,38.605278,51415000
2014-05-23,43.160000,43.290001,43.119999,43.139999,38.533817,55456100
2014-05-27,42.959999,43.029999,42.630001,42.770000,38.203323,40155800
2014-05-28,42.990002,43.110001,42.840000,43.020000,38.426628,45095400
2014-05-29,43.130001,43.209999,43.020000,43.139999,38.533817,28979600
2014-05-30,42.869999,42.919998,42.459999,42.549999,38.006805,72201700
2014-06-02,42.730000,42.820000,42.650002,42.680000,38.122929,33550800
2014-06-03,42.730000,43.040001,42.720001,42.919998,38.337299,38021700
2014-06-04,42.630001,42.759998,42.560001,42.680000,38.122929,25656100
2014-06-05,43.070000,43.200001,42.900002,43.130001,38.524876,41040500
2014-06-06,43.480000,43.660000,43.410000,43.560001,38.908966,45429100
2014-06-09,43.509998,43.779999,43.509998,43.720001,39.051884,38995600
2014-06-10,43.770000,43.980000,43.709999,43.950001,39.257328,31573300
2014-06-11,43.689999,43.880001,43.680000,43.799999,39.123341,44721500
2014-06-12,43.869999,43.910000,43.450001,43.590000,38.935764,40265500
2014-06-13,43.439999,43.650002,43.349998,43.610001,38.953629,27554000
2014-06-16,43.480000,43.520000,43.279999,43.410000,38.774982,32040700
